date,sales
2015-02-01,18972
2015-02-02,22725
2015-02-03,32330
2015-02-04,28747
2015-02-05,31390
2015-02-06,25494
2015-02-07,18796
2015-02-08,15486
2015-02-09,19761
2015-02-10,20198
2015-02-11,20560
2015-02-12,12177
2015-02-13,18276
2015-02-14,21492
2015-02-15,23883
2015-02-16,25628
2015-02-17,29769
2015-02-18,30099
2015-02-19,21175
2015-02-20,18242
2015-02-21,16850
2015-02-22,22934
2015-02-23,21957
2015-02-24,10834
2015-02-25,24233
2015-02-26,23363
2015-02-27,27604
2015-02-28,34200
2015-03-01,25258
2015-03-02,28429
2015-03-03,20300
2015-03-04,16599
2015-03-05,15835
2015-03-06,17761
2015-03-07,16289
2015-03-08,10847
2015-03-09,19788
2015-03-10,17325
2015-03-11,27019
2015-03-12,35467
2015-03-13,28865
2015-03-14,27045
2015-03-15,21772
2015-03-16,17851
2015-03-17,14829
2015-03-18,17868
2015-03-19,21911
2015-03-20,12041
2015-03-21,16457
2015-03-22,19195
2015-03-23,34111
2015-03-24,32069
2015-03-25,31600
2015-03-26,31849
2015-03-27,19439
2015-03-28,14774
2015-03-29,17497
2015-03-30,17999
2015-03-31,13872
2015-04-01,8060
2015-04-02,15676
2015-04-03,15688
2015-04-04,20587
2015-04-05,31087
2015-04-06,25446
2015-04-07,22471
2015-04-08,21558
2015-04-09,14844
2015-04-10,14254
2015-04-11,14816
2015-04-12,12245
2015-04-13,10489
2015-04-14,21186
2015-04-15,22880
2015-04-16,44640
2015-04-17,39672
2015-04-18,41354
2015-04-19,30931
2015-04-20,25913
2015-04-21,22645
2015-04-22,22379
2015-04-23,28632
2015-04-24,18884
2015-04-25,15580
2015-04-26,27761
2015-04-27,25573
2015-04-28,32968
2015-04-29,44257
2015-04-30,48506
2015-05-01,38458
2015-05-02,31484
2015-05-03,19149
2015-05-04,26621
2015-05-05,29293
2015-05-06,25463
2015-05-07,18452
2015-05-08,25888
2015-05-09,26751
2015-05-10,36201
2015-05-11,50035
2015-05-12,42734
2015-05-13,38132
2015-05-14,30477
2015-05-15,21348
2015-05-16,23925
2015-05-17,29213
2015-05-18,30492
2015-05-19,16868
2015-05-20,28166
2015-05-21,28261
2015-05-22,39617
2015-05-23,46619
2015-05-24,44664
