birthday,gender,level,position,department,education_level,major,experience,senority,current_position_experience,time_with_line_manager,salary,stock_option_level,num_working_hours,workplace_requirement_level,overtime,performance_level,work_travel_frequency,work_satisfaction_level,num_job_changes,status,home_distance,coworker_relationship_level,training_frequency,turnover
11/16/98,Female,1,Data Engineer,Engineer,highschool graduated,Technical Degree,1,0,0,0,2325,0,40,high,No,outstanding,high,low,0,Single,1,average,frequently,Yes
3/30/95,Male,1,Laboratory Technician,Research & Development,highschool graduated,Technical Degree,3,2,1,1,2523,1,40,high,No,execellent,low,very high,0,Married,2,execellent,rarely,No
5/3/95,Male,1,Research Scientist,Research & Development,highschool graduated,Medical,3,2,2,2,2773,0,40,low,No,outstanding,low,high,0,Married,6,outstanding,rarely,No
5/12/95,Female,2,Manufacturing Director,Research & Development,highschool graduated,Life Sciences,4,3,2,2,4171,1,40,medium,Yes,execellent,low,high,0,Married,3,average,rarely,Yes
10/22/95,Male,1,Research Scientist,Research & Development,master,Life Sciences,1,0,0,0,2853,1,40,high,Yes,execellent,high,very high,0,Married,3,good,frequently,Yes
12/19/95,Male,1,Research Scientist,Research & Development,college,Life Sciences,4,3,2,2,3375,0,40,very high,No,execellent,low,high,0,Single,1,outstanding,rarely,No
9/22/94,Male,2,Laboratory Technician,Research & Development,highschool graduated,Life Sciences,5,4,3,2,2272,0,40,low,No,execellent,low,high,0,Single,20,good,rarely,No
12/10/93,Female,2,Manufacturing Director,Research & Development,college,Other,5,4,2,3,4011,1,40,low,No,execellent,none,high,0,Divorced,11,outstanding,frequently,No
6/23/93,Female,2,System Engineer,Engineer,college,Technical Degree,4,3,2,2,4999,1,40,low,No,outstanding,low,high,0,Married,3,average,rarely,No
9/25/93,Male,1,Laboratory Technician,Research & Development,highschool graduated,Life Sciences,6,5,3,2,2774,1,40,medium,No,execellent,low,high,0,Married,18,execellent,rarely,No
10/13/93,Male,1,Data Engineer,Engineer,bachelor/engineer,Technical Degree,3,2,2,1,2400,2,40,very high,No,execellent,high,very high,0,Married,24,execellent,rarely,No
9/26/93,Male,1,Laboratory Technician,Research & Development,highschool graduated,Life Sciences,6,5,2,4,3162,0,40,low,No,execellent,none,very high,0,Married,4,outstanding,rarely,No
1/29/93,Male,1,Laboratory Technician,Research & Development,college,Technical Degree,2,1,1,0,2296,3,40,high,No,execellent,low,low,0,Divorced,21,good,rarely,No
6/14/93,Male,1,Human Resources,Staff,bachelor/engineer,Medical,3,2,2,1,2145,1,40,low,No,execellent,high,very high,0,Married,10,outstanding,rarely,No
12/19/92,Female,2,Manufacturing Director,Research & Development,bachelor/engineer,Life Sciences,5,4,2,2,4898,2,40,low,No,execellent,low,high,0,Married,1,outstanding,rarely,No
6/10/92,Male,2,System Engineer,Engineer,bachelor/engineer,Technical Degree,4,3,2,2,4851,1,40,very high,No,outstanding,low,medium,0,Married,8,execellent,frequently,No
8/21/92,Male,2,System Engineer,Engineer,master,Technical Degree,5,4,3,1,4950,0,40,high,No,execellent,low,very high,0,Single,10,good,frequently,No
10/20/92,Female,2,System Engineer,Engineer,college,Technical Degree,6,5,3,4,4907,1,40,low,Yes,outstanding,low,high,0,Divorced,8,good,rarely,No
10/17/91,Male,1,Research Scientist,Research & Development,highschool graduated,Medical,5,4,3,1,3904,0,40,low,No,execellent,low,very high,0,Single,2,outstanding,rarely,No
7/30/91,Male,1,Laboratory Technician,Research & Development,bachelor/engineer,Other,8,7,7,7,3578,0,40,high,No,execellent,low,low,0,Single,7,outstanding,rarely,No
11/30/91,Male,1,Laboratory Technician,Research & Development,bachelor/engineer,Other,8,7,7,7,2544,1,40,high,No,execellent,high,very high,0,Married,6,average,rarely,No
1/19/91,Male,1,Laboratory Technician,Research & Development,bachelor/engineer,Medical,8,7,7,6,2867,0,40,high,No,execellent,low,low,0,Single,1,outstanding,frequently,No
10/7/91,Female,1,Data Engineer,Engineer,bachelor/engineer,Technical Degree,5,4,2,0,2966,0,40,very high,No,execellent,low,high,0,Single,5,outstanding,rarely,No
12/2/90,Male,1,Research Scientist,Research & Development,bachelor/engineer,Technical Degree,6,5,2,1,3058,1,40,high,Yes,execellent,low,medium,0,Married,17,outstanding,rarely,No
12/16/90,Male,2,System Engineer,Engineer,highschool graduated,Technical Degree,6,5,4,4,6349,1,40,high,Yes,execellent,none,medium,0,Married,1,outstanding,none,No
8/14/90,Female,1,Research Scientist,Research & Development,master,Medical,6,5,3,3,2187,2,40,low,No,execellent,low,high,0,Divorced,6,execellent,frequently,No
6/25/90,Male,1,Data Engineer,Engineer,highschool graduated,Technical Degree,5,4,3,2,3041,1,40,high,No,execellent,low,low,0,Divorced,2,good,rarely,Yes
2/28/90,Male,1,Research Scientist,Research & Development,master,Medical,5,4,2,1,2045,0,40,low,No,execellent,low,very high,0,Single,3,outstanding,none,No
1/21/90,Male,2,System Engineer,Engineer,highschool graduated,Technical Degree,5,4,2,1,4342,1,40,high,No,execellent,high,very high,0,Married,8,good,rarely,No
11/16/90,Female,2,Manufacturing Director,Research & Development,master,Life Sciences,4,3,2,2,4227,1,40,low,No,execellent,low,very high,0,Married,2,good,rarely,No
