latitude;longitude;acq_date
-3.9278;119.793;01/01/2016
-1.4031;121.1494;01/01/2016
1.4449;125.1901;01/01/2016
0.5304;121.6874;01/01/2016
-2.5754;121.3705;03/01/2016
-2.574;121.3806;03/01/2016
-4.0043;121.5769;04/01/2016
-5.4643;122.612;04/01/2016
-3.8672;122.3993;04/01/2016
-4.4507;121.7319;04/01/2016
-5.6707;122.6421;04/01/2016
-4.425;121.7189;04/01/2016
-5.0498;122.809;04/01/2016
-4.4494;121.7409;04/01/2016
-4.4237;121.7279;04/01/2016
-3.9188;121.7839;04/01/2016
-4.2002;121.8059;04/01/2016
-2.5765;121.3851;04/01/2016
-2.5778;121.376;04/01/2016
-4.3676;121.5383;04/01/2016
-3.6647;121.6264;04/01/2016
-3.4016;119.2108;04/01/2016
-3.8234;121.995;04/01/2016
-3.9174;121.7931;04/01/2016
-4.2054;121.7694;04/01/2016
-4.2015;121.7967;04/01/2016
-4.0424;121.6871;04/01/2016
1.0108;121.6823;04/01/2016
-2.5838;121.3664;04/01/2016
-2.5792;121.3967;04/01/2016
-2.5732;121.3733;05/01/2016
-2.5709;121.3894;05/01/2016
-2.5704;121.379;05/01/2016
-2.5752;121.3854;05/01/2016
-2.5735;121.3987;05/01/2016
-2.5781;121.405;05/01/2016
1.044;120.8198;06/01/2016
-2.5756;121.3759;06/01/2016
-2.4143;121.2191;06/01/2016
-3.8738;122.3951;06/01/2016
-3.5193;122.2209;06/01/2016
-1.532;122.241;06/01/2016
-3.7129;121.8527;06/01/2016
-3.7755;122.3519;06/01/2016
-2.577;121.3852;06/01/2016
-1.852;120.6525;06/01/2016
-2.8276;122.1592;06/01/2016
-3.9757;121.8261;06/01/2016
-3.9676;121.4469;06/01/2016
-3.9273;119.7972;06/01/2016
-4.4302;122.6517;06/01/2016
-4.1435;122.8537;06/01/2016
-4.1865;122.8714;06/01/2016
-3.7165;120.2138;06/01/2016
-3.7143;120.1936;06/01/2016
-3.7126;120.2062;06/01/2016
-3.9896;122.0867;06/01/2016
-4.2348;122.5504;06/01/2016
-4.251;121.7746;06/01/2016
-4.2028;121.8138;06/01/2016
-4.2296;121.9969;06/01/2016
-3.7183;121.8472;06/01/2016
-4.2042;121.804;06/01/2016
-4.1976;121.7822;06/01/2016
-4.199;121.7721;06/01/2016
-3.9984;121.9577;06/01/2016
-5.0378;122.9216;06/01/2016
-3.9235;121.7658;06/01/2016
-3.9999;121.9473;06/01/2016
-3.7183;120.2011;06/01/2016
-3.2674;120.1887;06/01/2016
-2.8338;121.6001;06/01/2016
